0:0:0:0:0:0:0:1 - - [23/May/2018:20:40:05 -0300] "GET /relatorios/faces/resources/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:40:31 -0300] "GET /relatorios/faces/Filtro.xhtml HTTP/1.1" 200 1768
0:0:0:0:0:0:0:1 - - [23/May/2018:20:40:31 -0300] "GET /relatorios/faces/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:41:55 -0300] "GET /relatorios/faces/Filtro.xhtml HTTP/1.1" 200 1729
0:0:0:0:0:0:0:1 - - [23/May/2018:20:41:55 -0300] "GET /relatorios/faces/resources/css/style.css HTTP/1.1" 200 926
0:0:0:0:0:0:0:1 - - [23/May/2018:20:41:55 -0300] "GET /relatorios/faces/resources/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:42:29 -0300] "GET /relatorios/faces/Filtro.xhtml HTTP/1.1" 200 1729
0:0:0:0:0:0:0:1 - - [23/May/2018:20:42:29 -0300] "GET /relatorios/faces/resources/css/style.css HTTP/1.1" 200 930
0:0:0:0:0:0:0:1 - - [23/May/2018:20:42:54 -0300] "GET /relatorios/faces/Filtro.xhtml HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [23/May/2018:20:42:54 -0300] "GET /relatorios/faces/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:42:54 -0300] "GET /relatorios/faces/resources/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:43:51 -0300] "GET /relatorios/faces/Filtro.xhtml HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [23/May/2018:20:43:51 -0300] "GET /relatorios/faces/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:43:51 -0300] "GET /relatorios/faces/resources/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:45:16 -0300] "GET /relatorios/faces/Filtro.xhtml HTTP/1.1" 200 1756
0:0:0:0:0:0:0:1 - - [23/May/2018:20:45:16 -0300] "GET /relatorios/faces/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:45:16 -0300] "GET /relatorios/faces/resources/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:47:43 -0300] "GET /relatorios/faces/Filtro.xhtml HTTP/1.1" 200 1763
0:0:0:0:0:0:0:1 - - [23/May/2018:20:47:43 -0300] "GET /relatorios/faces/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:47:43 -0300] "GET /relatorios/faces/resources/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:47:47 -0300] "GET /relatorios/faces/Filtro.xhtml?j_idt9=&j_idt11=&j_idt13=&j_idt15=&j_idt18=&j_idt20=&j_idt21=Buscar HTTP/1.1" 200 1763
0:0:0:0:0:0:0:1 - - [23/May/2018:20:51:28 -0300] "GET /relatorios/faces/Contact.xhtml HTTP/1.1" 200 1298
0:0:0:0:0:0:0:1 - - [23/May/2018:20:51:28 -0300] "GET /relatorios/faces/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:51:28 -0300] "GET /relatorios/faces/resources/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:51:28 -0300] "GET /relatorios/faces/resources/img/andre.png HTTP/1.1" 200 14288
0:0:0:0:0:0:0:1 - - [23/May/2018:20:51:28 -0300] "GET /relatorios/faces/resources/img/Gustavo.png HTTP/1.1" 200 15850
0:0:0:0:0:0:0:1 - - [23/May/2018:20:51:28 -0300] "GET /relatorios/faces/resources/img/vinicius.png HTTP/1.1" 200 15884
0:0:0:0:0:0:0:1 - - [23/May/2018:20:51:28 -0300] "GET /relatorios/faces/resources/img/Xiao.png HTTP/1.1" 200 14844
0:0:0:0:0:0:0:1 - - [23/May/2018:20:52:12 -0300] "GET /relatorios/faces/Filtro.xhtml HTTP/1.1" 200 1819
0:0:0:0:0:0:0:1 - - [23/May/2018:20:52:14 -0300] "GET /relatorios/faces/Contact.xhtml HTTP/1.1" 200 1298
0:0:0:0:0:0:0:1 - - [23/May/2018:20:52:14 -0300] "GET /relatorios/faces/resources/img/andre.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:52:14 -0300] "GET /relatorios/faces/resources/img/Gustavo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:52:14 -0300] "GET /relatorios/faces/resources/img/Xiao.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:52:14 -0300] "GET /relatorios/faces/resources/img/vinicius.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:53:15 -0300] "GET /relatorios/faces/Contact.xhtml HTTP/1.1" 200 1313
0:0:0:0:0:0:0:1 - - [23/May/2018:20:53:15 -0300] "GET /relatorios/faces/resources/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:53:15 -0300] "GET /relatorios/faces/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:53:15 -0300] "GET /relatorios/faces/resources/img/andre.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:53:15 -0300] "GET /relatorios/faces/resources/img/Gustavo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:53:15 -0300] "GET /relatorios/faces/resources/img/Xiao.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:53:15 -0300] "GET /relatorios/faces/resources/img/vinicius.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:53:26 -0300] "GET /relatorios/faces/Contact.xhtml HTTP/1.1" 200 1313
0:0:0:0:0:0:0:1 - - [23/May/2018:20:54:56 -0300] "GET /relatorios/faces/Contact.xhtml HTTP/1.1" 200 1528
0:0:0:0:0:0:0:1 - - [23/May/2018:20:54:56 -0300] "GET /relatorios/faces/resources/css/style.css HTTP/1.1" 304 -
